ayah_no_surah,ayah_no_quran,ayah_ar,ayah_en,ruko_no,juz_no,manzil_no,hizb_quarter,sajdah_ayah,sajdah_no,total_ayah_quran,no_of_word_ayah,list_of_words
1,1,بسم ٱلله ٱلرحمٰن ٱلرحيم,"In the Name of Allah—the Most Compassionate, Most Merciful.",1,1,1,1,False,,6236,4,"[بسم,ٱلله,ٱلرحمٰن,ٱلرحيم]"
2,2,ٱلحمد لله رب ٱلعٰلمين,"All praise is for Allah—Lord of all worlds,",1,1,1,1,False,,6236,4,"[ٱلحمد,لله,رب,ٱلعٰلمين]"
3,3,ٱلرحمٰن ٱلرحيم,"the Most Compassionate, Most Merciful,",1,1,1,1,False,,6236,2,"[ٱلرحمٰن,ٱلرحيم]"
4,4,مٰلك يوم ٱلدين,Master of the Day of Judgment.,1,1,1,1,False,,6236,3,"[مٰلك,يوم,ٱلدين]"
5,5,إياك نعبد وإياك نستعين,You ˹alone˺ we worship and You ˹alone˺ we ask for help.,1,1,1,1,False,,6236,4,"[إياك,نعبد,وإياك,نستعين]"
6,6,ٱهدنا ٱلصرٰط ٱلمستقيم,"Guide us along the Straight Path,",1,1,1,1,False,,6236,3,"[ٱهدنا,ٱلصرٰط,ٱلمستقيم]"
7,7,صرٰط ٱلذين أنعمت عليهم غير ٱلمغضوب عليهم ولا ٱلضآلين,"the Path of those You have blessed—not those You are displeased with, or those who are astray.",1,1,1,1,False,,6236,9,"[صرٰط,ٱلذين,أنعمت,عليهم,غير,ٱلمغضوب,عليهم,ولا,ٱلضآلين]"
1,8,الٓمٓ,Alif-Lãm-Mĩm.,2,1,1,1,False,,6236,1,[الٓمٓ]
2,9,ذٰلك ٱلكتٰب لا ريب ۛ فيه ۛ هدۭى للمتقين,This is the Book! There is no doubt about it,2,1,1,1,False,,6236,9,"[ذٰلك,ٱلكتٰب,لا,ريب,ۛ,فيه,ۛ,هدۭى,للمتقين]"
3,10,ٱلذين يؤمنون بٱلغيب ويقيمون ٱلصلوٰة ومما رزقنٰهم ينفقون,"who believe in the unseen, establish prayer, and donate from what We have provided for them,",2,1,1,1,False,,6236,8,"[ٱلذين,يؤمنون,بٱلغيب,ويقيمون,ٱلصلوٰة,ومما,رزقنٰهم,ينفقون]"
