dhikr_id,category_id,text_ar,text_en,benefits_ar,benefits_en,reference
1,1,"اللّهُـمَّ أَنْتَ رَبِّـي لا إلهَ إلاّ أَنْتَ...","O Allah, You are my Lord, none has the right to be worshiped except You...","من قاله موقنًا به في الصباح أو المساء فمات دخل الجنة.","Whoever says it with conviction in the morning or evening and dies, enters Paradise.","صحيح البخاري 6306"
2,1,"أَصْبَحْنَا وَأَصْبَحَ الْمُلْكُ لِلَّهِ...","We have entered a new morning and with it all dominion belongs to Allah...","ذكر عظيم يُقال في الصباح والمساء.","A great remembrance for renewing faith each morning and evening.","سنن أبي داود 5071"
3,1,"اللّهُمَّ ما أَصْبَحَ بي من نِعْمَةٍ...","O Allah, whatever blessing has come to me this morning...","شكر لله على نعمه في الصباح.","Gratitude for Allah’s blessings each morning.","صحيح مسلم 2729"
4,1,"رَضِيتُ بِاللَّهِ رَبًّا...","I am pleased with Allah as my Lord...","من قالها ثلاثًا حُق له الرضا.","Whoever says it thrice attains contentment.","سنن أبي داود 5072"
5,1,"اللّهُمَّ عافني في بدني...","O Allah, grant health to my body...","دعاء للحفظ من الأمراض.","Supplication for health and protection.","سنن الترمذي 3388"
6,1,"اللّهُمَّ إني أصبحتُ أُشهدُك...","O Allah, I have entered the morning calling You to witness...","تجديد للعهد مع الله.","Renewal of faith covenant.","سنن أبي داود 5069"
7,1,"اللّهُمَّ إني أعوذ بك من الكسل وسوء الكِبَر...","O Allah, I seek refuge in You from laziness and old age...","وقاية من الكسل والهم.","Protection from laziness and distress.","صحيح البخاري 6367"
8,1,"اللّهُمَّ بك أصبحنا وبك أمسينا...","O Allah, by Your leave we have reached the morning and the evening...","توكّل على الله في كل حال.","Trusting Allah in all conditions.","صحيح مسلم 2710"
9,1,"سُبْحَانَ اللَّهِ وَبِحَمْدِهِ","Glory is to Allah and praise is to Him.","يغفر الذنوب وإن كانت مثل زبد البحر.","Forgives sins even if as much as the foam of the sea.","صحيح مسلم 2691"
10,1,"اللّهُ لا إِلَهَ إِلاَّ هُوَ الْحَيُّ الْقَيُّومُ...","Allah! None has the right to be worshiped but He, the Ever Living...","آية الكرسي تحفظك من الشيطان.","Ayat al-Kursi protects from Satan.","صحيح البخاري 2311"

11,2,"اللَّهُمَّ بِاسْمِكَ أَحْيَا وَبِاسْمِكَ أَمُوتُ","O Allah, in Your name I live and in Your name I die.","ذكر النوم للحفظ.","Said before sleep for protection.","صحيح البخاري 6314"
12,2,"الحَمْدُ للهِ الَّذي أَحْيَانَا بَعْدَ مَا أَمَاتَنَا...","Praise be to Allah who gave us life after He caused us to die...","ذكر الاستيقاظ بنعمة الحياة.","Thanking Allah for life upon waking.","صحيح البخاري 6312"
13,2,"اللّهُمَّ قِني عَذابَكَ يَوْمَ تَبْعَثُ عِبادَك","O Allah, protect me from Your punishment on the Day You resurrect Your servants.","ذكر النوم للمغفرة.","A nightly supplication for forgiveness.","صحيح مسلم 2713"
14,2,"بِاسْمِكَ رَبِّ وَضَعْتُ جَنْبِي...","In Your name, my Lord, I lay down my side...","ذكر يقال عند النوم للطمأنينة.","Brings tranquility before sleep.","سنن الترمذي 3393"
15,2,"اللّهُمَّ إِنِّي أَسْأَلُكَ خَيْرَ هَذِهِ اللَّيْلَةِ...","O Allah, I ask You for the good of this night...","دعاء لحفظ الليل.","Supplication for protection during the night.","سنن النسائي 5505"

16,3,"سُبْحَانَ اللَّهِ وَالْحَمْدُ لِلَّهِ...","Glory be to Allah, all praise is for Allah...","أحب الكلام إلى الله.","The most beloved words to Allah.","صحيح مسلم 2137"
17,3,"لَا إِلَهَ إِلَّا اللَّهُ وَحْدَهُ لَا شَرِيكَ لَهُ...","None has the right to be worshiped but Allah alone...","يعدل عتق أربع رقاب.","Equal to freeing four slaves.","صحيح البخاري 3293"
